N1	See readers' New Year photos	How do you celebrate the evening?
N2906	Apple launch: Super Mario ready for new waterproof iPhone	Here are the most important Apple news.
N2907	Pickle theft in broad daylight	Here the thief, dressed as a repairman, carries the entertainment machine from a store in Tynset.
N2908	- Bandidos to Trondheim to party next weekend	The support group has been given permanent residence.
N2909	"People accused me of plagiarizing the Trønderbunad.	Tone Svee Dahl wanted to honour her grandmother from Orkdal and created a knitting pattern based on the Trønderbunad.
N2910	These are Europe's terrorist attacks	More than 30 terrorist attacks have hit Europe over the past 18 years.
N2911	Creak in the parquet ended in court	Homebuyers demanded NOK 80,000 to get new parquet. They thought the seller should have informed that he had laid it himself.
N2912	Up in the middle of the night to earn less than a hundred dollars an hour?	"I like my job," said Roald Arentz, 41.
N2913	Surprisingly vital comeback	Wow. Who would have thought that. Aunt Mary, a band buried in layer upon layer of music history, is making a vital and powerful comeback.
N2914	LO asks Andresen to drop the "gnawing" poster	The Norwegian Confederation of Trade Unions (LO) is now turning around and asking NTNU researcher Trond Andresen not to include the poster that says that "The gnawing about anti-Semitism is a derailment tactic".
N2915	15 years in Luck and Misfortune - the stories behind it	STJØRDAL: Hell Bluesfestival has become Hell Music Festival and the festival has become more rocky.
N2916	Now this coffee giant is coming to Norway	Should put in place up to 30 coffee shops.
N2917	Turn your phone into an SLR	You've never taken better photos with your phone, but is it worth it?
N2918	Fintrøndersk on the rise	"Hainnhoinn i bainn" is on its way out. If you want to be hip today, it is "male dog on a leash" that applies in Trondheim.
N2919	Exceptional exposure opportunity at the entrance gate to the city center - where Solsiden meets Bakklandet - BoligGuiden - adressa.no	Look forward to giving your company the exposure it deserves - in No1! Today, the residential part of No1 is already a sales success with all apartments sold out. This is saying...
N2920	- I thought it was safe and cheap	Steinar Holshagen had his car stolen while it was in the supervised parking garage in Trondheim.
N2921	Meet some of Norway's best Pokémon Go players	They walk 100 kilometers on a weekend, and are out for up to 14 hours every day. "There have been a lot of blister patches.
N2922	Fire in restaurant in Trondheim	Full call-out to the restaurant Two rooms and kitchen.
N2923	What to consider before choosing Airbnb	How can you trust the reviews when booking residency?
N2924	The young J.C. Dahl not so expensive	For the current sales price of J.C. Dahl's "Klintekorset", it does not necessarily mean anything from or to the fact that Ny Carlsberg Glyptotek in Copenhagen has a Dahl image with the same motif.
N2925	- Must intervene against racist posters	- Private posters expressing hatred of Jews have nothing to do with the May 1 train. The committee must make sure to dismiss these.
N2926	DNB ceo warns NAV against consultant trap	Fiksdahl believes that the welfare agency NAV may have fallen into the consultant trap and lost control of costs.
N2927	Trondheim was always at the forefront of jazz development	- Come here! Join us and spell! This has been the attitude in Trondheim jazz. This has brought international success.
N2928	- "Major Tits" is inspired by my father	Bottom price heiress Ivar E. Lykke (34) plays the disgusting Major Tits in "Kill Buljo 2". To get into the role, he has taken inspiration from his father.
N2929	Nice 2-bedroom of 43 sqm on the 2nd floor. Balcony. Parking. Bathroom and kitchen TG1. Low community costs. - BoligGuiden - adressa.no	Primary room: 2nd floor: Entrance hall, bedroom, hallway, bathroom, living room and kitchen. The apartment has 1 storage room in the basement and access to a common storage room in the basement, (area measurement of storage rooms, not done)
N2930	Large increase in home sales over six million	120 second-hand homes worth six million kroner or more have been sold in Trondheim this year.
N2931	The jumping legend was touched by Tande's triumph: – As big as winning a championship	Roger Ruud knows a little about what Daniel-André Tande experienced in the New Year's jumping race.
N2932	Delays at Værnes	The snowy weather at Gardermoen airport has led to a number of delays in air traffic.
N2933	- That's a lie.	Rørvik Båtforening apologizes.
N2934	- July 22 stories need to be told again and again	The names of the eight people from Trøndelag who were killed on Utøya were read out at High Mass in Nidaros Cathedral today. "Their stories are part of our country's basic narratives," bishop Tor B. Sinsaas said.
N2935	We caught him red-handed	Young tagger arrested after extensive damage to property in Trondheim last night.
N2936	The Prime Minister's New Year's speech in its entirety	The oldest written traces of the name Norway are from the late 800s. Well, actually not from Norway, but from England. There came a northern Norwegian Viking chieftain who traded at home and abroad and explained where he came from.
N2937	Closing down the maternity ward in Orkdal	The board of St. Olavs Hospital HF has decided to move the maternity services from Orkdal to Trondheim.
N2938	Plumber Mari (29) participates in new extreme reality	Mari Solligård from Orkanger will, together with eleven other women, try to survive all alone on a desert island.
N2939	Trondheim relevant for international star meeting	Brian May of Queen, Stephen Hawking and nine Nobel Laureates were among the celebrities at the Starmus Festival in 2016. "We are working intensively to bring Starmus 2017 to Trondheim," says an enthusiastic May-Britt Moser.
N2940	What you need to know before buying hybrid	What distinguishes the different hybrid cars, and what should you look out for when buying one?
N2941	"Jei doesn't speak Finnish"	If you think that to speak Finnishly is to speak like lawyer Christian Wiig, you are wrong.
N2942	Here is the news from this year's furniture fair in Stockholm	A bench where you can burn calories sitting. This year, creativity and natural materials top this year's furniture fair.
N2943	- Spreading fear	The police want tips about arsonists in Heimdal.
N2944	29-year-old sold property in Trondheim for NOK 23 million	The development company Heimdal Bolig has acquired a new part of Granåsen farm. The owner Andreas Alexander Nanavat Husby is left with around NOK 23 million.
N2945	- I have no problem understanding that I was stopped	A civilian police car was left behind a car on the E6 spewing blue smoke from the exhaust pipe. When the Road Administration took a closer look, they found severed springs.
N2946	Test drive Audi SQ7: This is a monster punch	The Audi SQ7 is an absurd car with a V8 engine that sounds like it should be sitting in a massive American pickup.
N2947	First they bought an old log house for 5000 kroner...	Then they moved it and transformed it. "If someone had told me I wanted to settle here, I wouldn't have believed them.
N2948	Now there is no turning back for Rissa and Leksvik	Now there is no turning back. The King in Council has decided that Rissa and Leksvik will become one municipality from 1 January 2018.
N2949	Socialist Left Party calls for debate on deployment of US soldiers	"The question is whether we want American bases on Norwegian soil. I don't think people have really understood what is happening," says Ottar Michelsen, leader of Sør-Trøndelag SV.
N2950	Trapped in cool air by the jet stream	If you are wondering where the spring heat has gone this year, the answer is several thousand meters up in the atmosphere. The jet stream, a belt of powerful wind fields, blocks out the heat.
N2951	It was a cup final and with 8000 spectators, a record attendance was set at Sorgenfri	Across the track, an airplane circled. Adresseavisen's photographer leaned far out to get the best pictures possible. Below him, he saw packed stands and two teams running around on the grass. It was the cup final at Sorgenfri.
N2952	Salute cannon exploded	The police still do not know the cause of the cannon accident that gave a 16-year-old serious injuries Muruvika in Malvik on Saturday night.
N2953	Ingrid bought her dream house	Ingrid Lorentzen (33) and her boyfriend Otto Jespersen (51) have bought their dream home for NOK 7.6 million.
N2954	Test drive Ford Focus RS: "An uncompromising car that scores high on the fun scale."	We've been running the berserk version of the Focus.
N2955	How to see who is taxing you	Everyone who searches you in the tax lists is logged and listed so you can see who they are.
N2956	These are the most read newspapers	The decline in print newspapers has been halved, while the upturn for mobile and online continues. VG is still the country's most widely read.
N2957	This "Danish" idyll is actually located in Trondheim	Close to Nardocenteret is a housing estate that is highly atypical for Trondheim. The so-called atrium city in white plaster was built in the 60s, with strict guidelines for who could live there.
N2958	Telenor warns against SMS scams	Replying to the wrong text message can cost you dearly.
N2959	THREESOME/GROUP SEX	The case is updated. hanrei Hi. Can you explain to me a bit about the phrase "hanrei"? (first found that expression the other day).. Is a man in his late 30s who becomes
N2960	16 cameras accompany you on Torget	The Norwegian Data Protection Authority wants to remove the notification requirement for camera surveillance, and is more concerned about "intelligent cameras" that can be used for personalised advertising.
N2961	Solberg pays tribute to bold Norwegians	Prime Minister Erna Solberg (H) used her New Year's speech to pay tribute to the individual who dares to stand out, think in new ways and push boundaries.
N2962	Here are the superstars who have visited Trondheim	Kiss, Elton John, Bob Dylan, Judas Priest, Kent, Iron Maiden, Muse and many, many more. There is no way how many superstars have visited Trondheim over the years.
N2963	These will become ambassadors	Mona Juul from Sparbu wants to become a London ambassador.
N2964	An acid test at will	The case is updated. The Ocean Space Centre will be an acid test of politicians' and businesses' willingness to invest in what Norway will live on after the oil.
N2965	It takes its toll to stand all alone on stage	Performance E was characterized by the courageous performance of many solo artists.
N2966	Solveig chose to have children with an anonymous donor	Wanted her daughter to have a sibling. The solution was test tube trials in Denmark.
N2967	Paper art sold almost immediately after opening	I had to pinch myself in the arm.
N2968	8000 Trønders want to party with strangers	The party app Heaps is hitting the mark among trapped Norwegians.
N2969	Sado sex in the dark	Kosmorama isn't exactly doing the subtle allusion art on the new posters.
N2970	Report of possible rape at private party in Trondheim	Woman in her 20s driven to the rape center.
N2971	Suspense and humor at Munkholmen	Big dreams, deep longings and impressive heroic deeds take place on Munkholmen throughout the summer. Also this year, the BUL's summer theater is a sure attraction for children and adults.
N2972	- Experience is what counts least with us	Start-ups and job seekers met face to face at Digs in Midtbyen.
N2973	15-year-olds triggered the fire alarm with phyverkeri	Three 15-year-old boys set off fireworks at the Risvollan Centre and the fire alarm was triggered. The police responded and took a serious talk with the boys.
N2974	Big new musical at Trøndelag Teater	In February next year there will be the world premiere of one of the largest musical initiatives at Trøndelag Teater ever.
N2975	Facts about Japan	The case is updated.  Japan is called "Nippon" in Japanese. It means "the origin of the sun."  The emperor is considered a symbol of the nation, and has an important function as a cultu
N2976	The most expensive Netflix series of all time is finally here	The most expensive Netflix series of all time is now ready to be enjoyed in its entirety.
N2977	A French stain	It was even darker.
N2978	Diet takes off in the U.S.: - Little to suggest it works	You are promised to be young and beautiful. But the dietitian has little faith in the diet.
N2979	Disappointed audience members demanded their money back after Dirty Dancing show	"The first time in 26 years that we have received this type of complaint," says Olavshallen's director Bjørgvin Thorsteinsson.
N2980	For the first time in 20 years, Norwegians could walk into a store and buy the car they wanted.	The authorities released the brake, and the public was not slow to give gas. From the autumn of 1960, car sales exploded in Norway.
N2981	Electric signs will soon run out	These will be the new signs for electric cars.
N2982	Man with a kilt in the Marienborg tunnel brought out the Twitter poet at the police	Special clothing notwithstanding: Uncle police had to pick the man up.
N2983	The hunter finally becomes a landowner	Three years after the purchase, real estate investor Øyvind Christensen takes over Storfosen Gods.
N2984	"People were pissed because I was walking on my feet.	"No Limits" Birgit was criticized for putting her wheelchair away at the Sports Gala.
N2985	Gunn sleeps outside one weekend a month	Here are eight tips on how to do the same.
N2986	Thanking her husband for his support after the showpiece: "He gives me tremendous security.	Goalkeeper-Kari gave the man a solid hug when the gold was ready.
N2987	Young male wolf shot in Lierne	A wolf is shot in Lierne. This did not happen in connection with a license hunt, whoever has shot claims it was in distress.
N2988	How to successfully light a fire	Five insider tips from the campfire expert.
N2989	Glass jellyfish stopped the ferry	M/F Fosen stopped this morning due to clogged cooling water intake, probably due to large amounts of jellyfish in the Trondheim Fjord.
N2990	"Boundless Birgit" back at Spelet	Birgit Røkkum Skarstein from "Ingen grenser" played in Spelet before she lost her mobility. Yesterday she got to call up the royal army at Stiklestad.
N2991	- I woke up with a picture in my head	In Trondheim, two dogs had disappeared. 500 kilometres further south in the country, Siv Tamlag imagined where they were. And got it right.
N2992	These probably end up in Latvia	The military is still negotiating to sell trucks.
N2993	It feels like a million dollars!	Trønderne Skei and PT and Andreas "Adrees" Estenstad continued in "The Stream".
N2994	Jaguar with Tesla competitor	Within two years, Jaguar will have an all-electric car on the market.
N2995	Full flap for new theatre	The refugee lodge continues the story and makes room for the emotions.
N2996	Construction of the new E6 now begins	The Norwegian Public Roads Administration encourages you to travel by public transport, carpool or cycle to avoid queues over Heimdalsmyra.
N2997	Mercedes E-Class sets the standard	Taking comfort and interior quality to a new level.
N2998	Northug invests in companies started by NTNU students	Petter Northug has become an owner of the company behind the photo-sharing app Gobi. Now the NTNU founders are moving to Silicon Valley.
N2999	The Norwegian Armed Forces pay a billion for new trucks	Oslo (NTB): The Norwegian Armed Forces are buying new high-tech trucks for NOK 1 billion.
N3000	The silent moose hunter	Imagine being able to "see" a moose in the terrain in front of you just by observing the small signals that your dog sends out, and then sneaking up close and trapping an animal that has no idea you're there!
N3001	Ridiculous unotes	Head-shakingly funny with a sad reverberation about a talentless soprano and a talented pianist.
N3002	How they specially designed their home	When choosing an architect, they hired two equally well. Then they picked the suggestion they liked best!
N3003	A smashing debut	Strong short stories about life, death and local politics.
N3004	Environmental organizations ask for passenger tax for empty aircraft seats	If airlines have to pay a fee for empty seats, there will be fewer half-empty aircraft and thus lower emissions, according to Norwegian environmental organizations.
N3005	Take the kids out and light a fire on the weekend	— Let them pick spruce rice and pine twigs. Let them feel the sense of mastery it gives to fire up. Give them time and be patient, says campfire expert and outdoor enthusiast Thomas Svardal.
N3006	In this NTH class, many of Norway's most successful entrepreneurs walked	Several of Norway's most successful entrepreneurs graduated from the old NTH in 1991/92. What was it about this particular vintage?
N3007	Can you handle these typical words from Trondheim?	The previous language quiz was about almost forgotten words. Here are words that are typical of Trondheim. Can you manage them?
N3008	Getting healthier in the barn	In a stately, thoroughly rehabilitated barn, people on sick leave must be rehabilitated back to work. "Friskgården Leinstrand" is Sør-Trøndelag's fourth in a row.
N3009	Ingebrigtsen: - Just to thank you for the gift package	RBK took the win after unnecessary penalties. Kåre Ingebrigtsen was happy about that.
N3010	Crying Krogh threw his skis in anger	The bird of misfortune lost its skis twice during the joint start in Oberstdorf.
N3011	Ola Mæle has sold property for NOK 14 million in Namdalen	Real estate investor Ola Mæle has sold the Bangdal property on 14,000 acres to private players. In addition, 71,000 acres in Flatanger have been put up for sale.
N3012	"Make sure that victims of abuse in every municipality can get an offer"	The case is updated. I'm sitting in the car outside the police office. My partner is being questioned because I have reported a close relative for childhood abuse. Po
N3013	It makes me incredibly happy to see how well the boy I met at the training ground at Lade has succeeded	"Little did I know, at the time, that this was a pretty special vintage, both on and off the field," writes Kjell Inge Fremo in this opinion piece.
N3014	Solskjaer confirms: Vegard Forren finished in Molde	The club will not pay what the international demands.
N3015	Four weeks' detention for the head of the Number Information	The Trondheim company allegedly tricked companies into signing agreements without the companies themselves being aware of it.
N3016	Got healthier employees after health check	8 out of 10 change their lifestyle after receiving a health check from their employer.
N3017	Check who is proposed for Trønder of the Year	The proposals for NRK Trøndelag and Adresseavisen's honorary award have poured in. Here you can see who is proposed for the price.
N3018	Walhalla breaks the law with these videos	The Norwegian Data Protection Authority believes that videos of theft cannot be published online.
N3019	FM network switched off in 2017	The Government has concluded that radio will be digitalised in 2017.
N3020	Norway's craziest car race	The country's first major car movie hits with the most important thing: the cars and the pictures. The script, supporting characters and drama don't sit as well.
N3021	Now the founders of NTNU hammocks finally get their salaries	Amok Equipment sells Draumr hammocks from stores in Australia, South Korea and Denmark.
N3022	Warns against new stroller trend	You see them all over the place, the strollers that are completely covered with thick blankets. –This is unfortunate, says coroner Torleiv Ole Rognum.
N3023	- A lot of work being a parent without beating	Mohammed Osman Yusuf, former leader of Somali Youth in Lillehammer, believes that beating children is fundamental for children to understand what not to do. Gentile society launches child-rearing toolkit in response.
N3024	How many countries can you name?	We thought we could all do it, but we were shamefully wrong. Now you can challenge yourself.
N3025	June (25) became Norwegian champion	Knocked out the boys and became the best tinsmith in the Norwegian Vocational Championships.
N3026	The whole of Åfjord mourned Karol	A packed Åfjord church yesterday morning bid farewell to the flood victim Karol Ciecka (20).
N3027	Do you know that the authorities encourage you to have this at home?	It's not just German authorities urging people to stock up on "emergency provisions." Do you know the Norwegian list?
N3028	What you can require in the event of a power outage	In addition to receiving compensation from the insurance company, the grid provider may also be required to provide compensation for faults in the power grid.
N3029	Left wife and children to help others	Marte Hallem's grandfather was a refugee elos and led refugees to the next post before he went home and did the barn care. Now the history of the pilots becomes a theatrical performance.
N3030	The Sensationalist: I'm Single	Emil Iversen lives at home with his mother and father and jokes that the victory in Oberstdorf will help the women's roof.
N3031	"This is what the gentlemen are going to look like on their hair this year"	Soda stream, Smurfs, Happy Tape and Quick Hairstyles. See the pictures of what left its mark on this decade.
N3032	Peder has not yet regained power at home	More than five days after the storm Hilde ravaged Trøndelag, Peder Norvald Lundemo is still without power.
N3033	Fat family on the same stage	My grandfather was a refugee pilot during the war and three generations are there when the Hallem family makes war history theatre at Stiklestad. "Family means a lot," says Marte Hallem.
N3034	- Becomes a new pilgrimage site	Directorate for Cultural Heritage Jørn Holme says the archaeological finds in Trondheim city centre are a sensation and call it unique.
N3035	- People want a dog but don't have time	But so has Kathrine Hagnes from Steinkjer, who runs one of Trøndelag's few dog day-care centres.
N3036	Moose collision does not result in bonus losses	Should you be unlucky enough to drive on a big game, you risk neither loss of bonus nor having to pay a deductible.
N3037	Man tricked 11-year-old into stripping naked in front of webcam	The 26-year-old has been convicted of similar offences in the past. Pleaded guilty in court.
N3038	"I hope to be as good as Arve Tellefsen.	Joakim Røbergshagen (12) received Adresseavisen's music scholarship in 2013.
N3039	Refusing to back down in the battle for the free area at Sverresborg	Electric gate, new hiking trail and continued border with Dyrborgskogen for residents, are some of the measures Trøndelag Folkemuseum at Sverresborg will take to expand the museum area. But the municipality will not change anything.
N3040	"The police called and apologized.	Pål Øystein Sørgaard attracted attention with his work barracks. This is what it looks like inside.
N3041	- I look like a splash of color and am stuck on the mountain with a strange man	Maria Mena celebrates that she has the energy to enjoy life again. Now she says yes to most things, and lets fans and followers take part in what she does through Instagram.
N3042	Eternithusene on Frøya (photos)	Join Ville Veier on a trip Frøya around to look for houses in eternit, abominations that today are worth taking care of.
N3043	"He can be on the next bus, because the wheelchair space is already full of luggage"	My experience in Trondheim was sad and demeaning, writes Phuoc Tan Le in this opinion piece.
N3044	Now you need to get a "watch" in the windshield	At least if you are going to park at Heimdal.
N3045	How 2016 could be the year you're happy at work	2016 could be the year you're happy at work. But researcher Lisa Vivoll Straume warns that in many ways it is a difficult form of happiness, because you have to work for happiness in a constantly changing working life.
N3046	Warm family home	Leander was only a few months old when he moved into the small house from 1900 at Ranheim. Now he is five years old, and his mother Camilla has, finally, got the house as she wanted.
N3047	Jubilee series part 23: Adresseavisen did not want to dissolve the union with Sweden	The decision of the 7 June Storting in 1905 aroused no enthusiasm in Adresseavisen's editor's office. Johan Christian Høitomt preferred that Norway continue in the union with Sweden.
N3048	Alerts 65 UP controls across the country	Will be active in all districts in Norway from Thursday to Friday.
N3049	Looking for a teenager girl from Trøndelag for a new TV series	- We are looking for a girl between the ages of 16 and 20 for a major role in NRK's new drama initiative. A new Liv Ullmann, says film producer Yngve Sæther.
N3050	Technology magazine: – Wouldn't recommend anyone to buy a new car now	All new Tesla cars will be self-driving promises Elon Musk, and we have been to Oslo Innovation Week.
N3051	These are the best TV series of 2015	Rotten Tomatoes sets the agenda. But who won?
N3052	29 degree difference between Oppdal and Røros this morning	The addition of mild air masses in the west and calm wind conditions and clear weather in the east resulted in violent temperature differences between Oppdal and Røros on Thursday morning.
N3053	The world's strongest woman is Norwegian	Hildeborg Juvet Hugdal was shocked by her competitor, but pulled himself together and won the World Championship in bench press.
N3054	This makes you angry in the car	A survey shows that the vast majority of motorists are annoyed while driving, both by external circumstances and by passengers.
N3055	Now Pia Merethe does not wear out three Christmas trees before Christmas	It is the first Sunday of Advent. At Pia Merethe Tørstad's home in Heimdal, the Christmas tree has already been decorated for two days.
N3056	- No candidates made it	Now this year's Christmas tree for Torget in Trondheim is fielded.
N3057	How to get better on the slalom slopes	Read Andrine Flemmen's tips on how to have more fun on the alpine slopes.
N3058	Police in Bergen drop weapons so as not to scare Olga (80)	While the police in both Oslo and Trondheim chose general armament after the terror alarm went off on Thursday, the Bergen police had a slightly different approach.
N3059	Norway's first female student	She demanded to take her examen artium and be enrolled. Thus, Norway's laws had to be changed.
N3060	Stole the priest's wallet during the service	Both wallet and mobile phone disappeared from the sacristy in Melhus church.
N3061	Q-Free has won its biggest contract ever	The Trondheim company will deliver toll station solutions worth NOK 470 million in Slovenia.
N3062	Disney World copies buildings from Sverresborg to Frost universe	"A great opportunity," says Visit Trondheim. And Sverresborg Folk Museum rejoices at the news.
N3063	The most important car news of 2016	It will be an eventful year for those who are considering buying a new car.
N3064	- Should you only get a quote if you live right by the E6?	Today was the first day people in rural areas were unable to deliver newspapers. "Do they think we should all huddle together on the farmland inside Trondheim?" asks Knut Jenssen from Bratsberg.
N3065	Will put up a three-meter high Hell sign	"It will be great," says the initiator.
N3066	Hobby junkies more common than we think	They live like everyone else, but are drug users in their spare time. PhD student Flore Singer Åsild from Trondheim has researched the city's hobbyists.
N3067	In the fall of next year, I turn eighteen. No more being forcibly placed in groups for "people like me".	My name is Marianne Knudsen and I have a disability. My legs don't work, but my head goes into high gear.
N3068	Free weekend fun	The list of games you can play for free on PC grows from month to month. We've compiled a small list of the best titles to enjoy - for free.
N3069	In this performance, they get to use everything they learned on the street	Brothers Omar, 17, and Ali, 15, Sadik, fled the war in Syria. Now they use the freedom to dance in a brand new theatrical production in Verdal.
N3070	Launches new Lysholm aquavit	Spirits producer Arcus has launched a new Lysholm aquavit, Lysholm No. 52. It should be especially suitable for aquavit drinks.
N3071	This was the "butt rescue" 40 years ago	Adressa glimpse from 1975.
N3072	Delightfully bold but uneven drama series	The second season of "The Struggle for Existence" is delightfully bold and bold, but more uneven as a drama.
N3073	This is the Hamre case	According to the indictment, the extortion case started in January 1993, when shipowner Thor Christensen received a letter demanding NOK 500,000.
N3074	- Hymen check is illegal	Health Minister Bent Høie states that "virginity check" is illegal.
N3075	Technology bomb: Mercedes takes an Audi with its new E-Class	The new E-Class is like a huge C-Class or like a small S-Class. But technologically, it is both superior – including its competitors.
N3076	- This was close	Pedaling machine operator Øystein Slettom was shaky after he saw the avalanche coming.
N3077	Bought furniture for 200 students that does not exist	At Brundalen school there is a lot of beautiful, new, furniture that is not needed until the school is full. Politicians chastise the councillor for unnecessary spending.
N3078	Psychologist: - It is common for parents to have a golden cub	Do you feel that taboo feeling? Here are tips on what to do.
N3079	The showjumper who became a wine farmer	She went to Paris to pursue her career as a showjumper. When her career was over, she stayed behind in France, to make her own wine.
N3080	Olavsfestdagene – a practical review	With over 200 events, Olavsfestdagene is set up as a compact and accessible festival where everyone will find something that interests.
N3081	Nordstrand's sugar book receives sour criticism	Success author Berit Nordstrand is in the children's book "Sugar boil in the head" on a collision course with current dietary advice.
N3082	Mjønes with suicide novel	The first has done more than reasonably well. "Johan the Second" from the writers' college is now making its debut in Uka 2001.
N3083	Now it is ready when Mathallen will open	General Manager Anne Morkemo has a taste before Trondheim's new food initiative opens in one month.
N3084	Selling party costume from Spar Buy as a bunad	The anonymous trondhjemmer bought party costumes from Spar Kjøp and tried to sell them on finn.no with a profit of NOK 5000.
N3085	World Cup, European Championship, Liverpool and RBK: How the hero ranks the Milan goal	The 41-year-old still gets chills on his back.
N3086	Russian plane with known chorus crashed in Black Sea	There are no signs of survivors after a Russian plane carrying 92 passengers en route to Syria crashed in the Black Sea, the Russian Defense Ministry said. On board were over 60 members of the internationally known choir Aleksandrov ensemble.
N3087	Spent nine hours in one mall	The customers spread out over the entire "Black Friday".
N3088	Malviking becomes senior manager in printing	Frode Sandmark (35) as the new CEO of Polaris Press.
N3089	Trail to the first day of St. Olav's Festival	The free opening event in Borggården has become a festival start to watch.
N3090	Calls for single men to hike	The ladies are queuing up to participate. Now the Tourist Association is looking for single men.
N3091	-Don't think until I speak	Jeanette Ervall from Stjørdal participates in this year's edition of Paradise Hotel.
N3092	Give the people bread and circuses	More than 2,000 years ago, the Romans came to a famous realization: "Give the people bread and circuses, and they will be satisfied!" After watching an NRK debate on climate a few weeks ago, I ask myself: Do we also want it the way the Roman emperor wanted it?
N3093	"I am incredibly happy that I dared to tell my story.	Hege Grostad (27) from Trondheim emerged as an escort girl. The response has been tremendous.
N3094	Girls' magazines cause poor self-image	Work hard to keep your weight down. Find the perfect lip gloss. And by all means get good in bed. In short, that's the message the magazines send to young women.
N3095	What coin is fake?	Meet the collector from Trondheim who exposes counterfeiters.
N3096	Turning the weather upside down	Oda violates all norms and demands to become a fisherman. She is helped by a sea corpse, a ghost and an admirer from Møre.
N3097	Adressa-twinkle from 1976	
N3098	Princess Astrid remembers Arve Tellefsen best	- Arve Tellefsen, how the whole hall was with him! That's what Princess Astrid Mrs. Ferner remembers best from the music competition she's been patroning since 1953.
N3099	Bent Høie wants to make it much more difficult to use coercion	Health Minister Bent Høie (H) believes that too much coercion is used in the Norwegian health service, and imposes a more thorough assessment on doctors before patients are forcibly medicated, belted or isolated.
N3100	Vikåsen - Spacious townhouse in child-friendly housing estate. - BoligGuiden - adressa.no	Primary room: 1st floor: Hallway / stairwell, laundry room, living room with dining area and kitchen.2nd floor: Hallway / stairwell, bathroom and 3 bedrooms. Exterior sports shed by entrance Garage with good...
N3101	Marbles in Spectrum	They think bikinis are a lot cooler than guys' swimsuits. Their song about it has taken the klæbu girls to the final of the Eurovision Song Contest jr.
N3102	Sky and sea - what a drama	Staid Spel tradition sparkles in inspired encounters with the spontaneity of the archipelago.
N3103	These cars are safest	Volvo and Mercedes come out on top when Swedish Folksam names the safest cars.
N3104	Test of marzipan	Victory to it with 50 percent almonds.
N3105	See how Birgithe lives out her interest in interior design even though she has small children	Birgithe wants to have a good time at home, but is concerned that her style should not put restrictions on her family's self-expression.
N3106	Girlfriends on and behind the scenes	They don't dread the kissing scene. The couple in the play "Oda from the Sea" have kissed before. They are married and have three children.
N3107	This weather map gets meteorologists on their toes	Christmas can be stormy in Trøndelag. Two strong low pressures in the Norwegian Sea from Christmas Eve mean that meteorologists follow weather developments extra closely.
N3108	Mercedes-Benz GLS: When size matters	The Mercedes-Benz GLS is sized for American conditions, with formidable space and rocking comfort. It doesn't seem tempting to steer it down a steep winter hill.
N3109	Mercedes C350 is no environmental star	The Mercedes C350e disappoints on the environment, but Norwegian taxes make it a gift package.
N3110	Now the Frati owner is investing in Oslo	Frati owner Michael Minervini starts a restaurant in Oslo together with Maaemo founder Pontus Dahlström. But Michelin stars won't be.
N3111	Our villages are being razed	Large demonstration against the closure of hamlet schools in Stjørdal.
N3112	Must feel the fetus moving	Pregnant women should get acquainted with the baby's movements in the abdomen. It can save lives.
N3113	Eats over 40 million buns a year	If you eat two chocolate bowls a week, you gain five kilos in one year.
N3114	Now Wolverine, you are the oldest	Bymarkajerven is the oldest known wolverine ever in Norway. Perhaps already the world's oldest. Read her incredible story, when she survived a den in 2001 in Hedmark, and followed her murdered cubs to Trondheim.
N3115	15.5 Lotto millions to Trønder	On Wednesday night, a 35-year-old from Trondheim won NOK 15.5 million. When Norsk Tipping finally got hold of him, the reaction was: Okay?
N3116	The girls dominated the sports cases that were most read this year	The list of ten at the top will probably surprise you.
N3117	The library café in Trondheim closes after 28 years	Mirjam Espevik (34) has visited the café ever since she was a little girl, as a student and on two maternity leaves.
N3118	Bulb replacement not for whomever	- An H11 bulb, thanks. - Mustard and ketchup?, the answer may sound. Your stomach still gets better service than your car at the gas stations.
N3119	Housing association in Trondheim wants to remove unmarked cats	The board of the Romolslia housing association believes cats without collars can be removed from the area. "Illegal," police said.
N3120	The weather forecast: Quiet and warm. But then it turns around	OBS alert further south in the country.
N3121	Vigorous skating school: Northug's buddy helps you get started	Learn skating technique, part 1: Are you tired of classic skis with a bad attachment?
N3122	Pernille (23) saw the destruction in the rainforest with her own eyes	Pernille Lehne (23) has been on a crocodile hunt in the rainforest. And put the challenges up close.
N3123	The glass door exploded when Alen was checking if the pizza was finished	Hundreds of pieces of glass lay strewn across the kitchen floor in Trondheim.
N3124	Girls' points disappear from many civil engineering studies	From the autumn, the girls' points in many of NTNU's civil engineering programmes will disappear.
N3125	Therefore, the piers should be put in a new light	On November 23, the population will see the light when the iconic piers in Trondheim are illuminated for the first time.
N3126	Trondheim suddenly received an extra NOK 116 million	But the councilman hopes politicians keep a fine print on the money barrel.
N3127	You will soon be able to make personalised license plates	But it comes at a cost. The Minister of Transport wants to allow the use of personal license plates.
N3128	Lone swallow through the sound barrier	Marianne Mjelde Knutsen thrives best in an open landscape. Norway's only female fighter pilot hunts grouse and moose when she is not breaking the sound barrier.
N3129	At school in uniform	The students at Trondheim International School do not have to brood in front of the wardrobe before they go to school: The small school introduces school uniforms.
N3130	- Rune is a real supermainn	A meeting with children with cancer and their relatives made Rune Jonsdal something more than just a happy boy.
