	user	Histories	Behaviors
10	U10	J4026 J6608 J2835 J7056 J7070	J1347-0 J5021-0 J4366-0 J5935-0 J5810-0 J2624-0 J679-0 J5368-0 J4773-0 J1459-0 J7879-0 J5678-0 J7894-0 J4179-0 J3324-0 J3375-0 J57-0 J6292-0 J89-0 J4757-0
11	U11	J2909 J5614 J2894 J5625 J5366 J4847	J5127-1 J1410-0 J4231-0 J555-0 J3667-0 J2307-0 J734-0 J1398-0 J4204-0 J5045-0 J6425-0 J2019-0 J6643-0 J6616-1 J6355-0 J3771-0 J1222-0 J4223-0 J2562-0 J153-0
12	U12	J6832 J8240 J7510 J7037 J5880 J6022 J439 J1424 J843	J2374-1 J354-0 J1233-0 J6160-1 J4807-0 J2111-0 J6965-0 J4146-0 J1393-0 J7056-1 J3320-0 J7726-0 J282-0 J605-0 J2869-0 J6453-1 J7613-0 J499-0 J6450-0 J3449-0
13	U13	J5069 J1226 J8101 J2581 J3083 J4336	J7176-0 J4540-0 J3895-0 J457-0 J4851-1 J2790-0 J3265-0 J3557-0 J5886-0 J387-1 J4011-0 J8239-1 J8141-1 J570-0 J7392-1 J7389-0 J416-1 J1356-0 J7795-0 J3781-0
14	U14	J5328 J7523 J1488 J2702 J6595 J5462	J6358-0 J1386-1 J6212-0 J4185-0 J6863-0 J4157-0 J3404-0 J7930-0 J4108-0 J1954-0 J6304-0 J2657-0 J4309-0 J6434-0 J2178-0 J1226-1 J5874-0 J593-0 J6831-0 J3608-0
15	U15	J8000 J2658 J6579 J705 J2353 J4524 J4054 J2958 J6361 J586 J3030	J1010-0 J4762-0 J1087-0 J2486-1 J8073-0 J1563-0 J4192-1 J5396-0 J1269-0 J2439-0 J7575-0 J4288-0 J2690-0 J2731-0 J2829-0 J6593-0 J5822-0 J2033-0 J1118-0 J4639-0
16	U16	J4847 J6088 J7438 J5625	J2440-0 J1728-1 J6209-0 J1947-0 J6512-0 J364-0 J1018-0 J787-0 J4546-0 J6397-0 J90-0 J2229-1 J1034-0 J8197-0 J2174-0 J2190-0 J3202-0 J5032-0 J104-0 J2917-0
17	U17	J3660 J3378 J6641 J1662 J1676 J886 J3914 J1467	J7672-0 J5102-0 J1740-0 J3454-0 J6192-0 J7723-0 J5322-0 J7512-0 J4707-0 J2002-0 J7603-0 J6057-0 J7042-0 J7583-0 J2960-0 J7836-0 J5088-0 J6050-0 J1292-0 J7663-0
18	U18	J3821 J4145 J1763 J1024 J4510 J5681	J121-0 J4535-0 J4564-0 J2008-0 J2150-1 J5321-0 J1386-0 J778-0 J4362-0 J2-1 J7285-0 J3272-0 J5524-0 J533-0 J2372-0 J2611-0 J5863-0 J4612-0 J1153-0 J3903-0
19	U19	J7278 J7890 J7203 J7404	J173-1 J6607-1 J983-0 J4883-0 J334-0 J7058-1 J579-0 J6217-1 J3989-0 J6415-0 J3204-1 J5790-0 J7068-0 J3293-1 J3142-0 J154-0 J7444-1 J7122-0 J869-1 J2232-0
20	U20	J3436 J5916 J526 J7274	J1042-0 J5387-0 J1540-0 J2363-0 J3537-0 J954-0 J7720-0 J456-0 J5452-0 J5913-0 J3192-0 J4674-0 J2230-0 J84-0 J6043-0 J2558-0 J2220-0 J3769-0 J7987-0 J1659-0
21	U21	J3852 J5460 J645 J655	J261-1 J7361-0 J2676-1 J8124-0 J5380-0 J5602-0 J5751-0 J4668-0 J3783-0 J1465-0 J5942-1 J3043-0 J6833-0 J3927-1 J7949-1 J7479-1 J399-0 J1088-0 J6310-0 J1912-1
22	U22	J6674 J8233 J1239 J5458 J5533 J2694 J4628	J1582-1 J3984-0 J6643-0 J5051-0 J4246-0 J5378-0 J5927-0 J2774-0 J7559-1 J2509-0 J2130-0 J1838-0 J1704-0 J6968-0 J7062-1 J4693-0 J3262-0 J44-0 J2251-1 J4612-1
23	U23	J1429 J2013 J7408	J2434-0 J8088-0 J7588-0 J7696-0 J72-0 J3708-1 J2139-0 J7414-0 J5842-0 J1358-0 J5087-0 J8187-0 J6302-0 J2750-0 J5399-0 J4103-1 J1872-1 J4606-0 J6474-0 J7993-1
24	U24	J7816 J4862 J886 J3409 J1458	J2401-1 J5076-0 J1224-0 J1439-1 J2774-0 J4652-0 J2945-0 J700-0 J2780-0 J6131-0 J6739-0 J695-0 J6731-0 J5709-0 J4411-0 J4265-1 J5421-0 J4779-0 J1-0 J2662-0
25	U25	J254 J6350 J5641 J1660	J8108-0 J1712-1 J3010-1 J5258-0 J7690-0 J7795-0 J5617-0 J4577-0 J5562-0 J1857-1 J3640-0 J1200-0 J692-0 J6802-0 J2232-0 J4378-0 J6061-0 J189-0 J3431-1 J2106-0
26	U26	J1160 J8200 J1158	J410-0 J2399-0 J1225-0 J3363-0 J4150-1 J7-0 J7099-1 J3173-0 J5198-0 J5452-0 J8013-0 J7078-0 J4309-0 J7797-0 J5971-0 J7120-0 J2364-0 J599-0 J5591-0 J3422-0
27	U27	J2528 J8013 J4150	J6608-0 J129-0 J3583-0 J2525-0 J2375-0 J2789-0 J7726-0 J1334-1 J3003-1 J3000-0 J2491-0 J2648-0 J3597-0 J4327-0 J7416-1 J3323-0 J4612-0 J4950-0 J1002-1 J4931-0
28	U28	J152 J7182 J3190 J7617 J6120 J2701 J6827 J1023 J249 J391 J2134 J2640 J1488 J2028	J7526-1 J6953-0 J47-0 J1644-0 J1944-0 J7242-0 J3788-0 J174-0 J682-0 J1033-0 J1581-1 J6917-0 J4054-1 J5906-1 J7856-0 J7892-0 J1694-1 J1221-0 J6949-0 J3380-1
29	U29	J5616 J4249 J1669	J7241-0 J2411-0 J1727-0 J504-0 J1386-0 J4834-0 J5655-0 J7984-0 J5777-0 J2484-0 J217-0 J6850-0 J6763-0 J3796-0 J8075-0 J1780-0 J4747-0 J2667-0 J173-0 J7182-0
30	U30	J3925 J4148 J1154 J2972 J2742 J7874	J3380-0 J3698-0 J6512-0 J4738-0 J2286-0 J7142-0 J4753-0 J293-0 J7739-0 J5236-0 J4664-0 J7294-0 J4541-1 J7852-1 J7860-0 J3854-1 J7497-0 J1451-0 J3186-0 J2788-1
31	U31	J1030 J2470 J7844	J8107-0 J4459-0 J3940-0 J3868-0 J2575-0 J5848-0 J5250-0 J2110-0 J7353-0 J746-0 J7625-0 J7071-0 J4205-1 J5266-0 J6271-0 J3457-0 J721-0 J3410-0 J1167-0 J8154-0
32	U32	J858 J7441 J6078 J5490 J4206 J2220 J193 J987	J6589-0 J3203-1 J2814-1 J2304-0 J4185-0 J1807-0 J6521-0 J6515-1 J3750-0 J7251-0 J4491-0 J7216-0 J1784-0 J1936-0 J3134-1 J3662-1 J3572-1 J4697-1 J286-0 J96-0
33	U33	J1402 J365 J5787 J3009 J4547	J4272-0 J78-0 J3739-0 J3452-0 J7994-0 J2573-0 J4573-0 J2845-0 J3173-0 J6186-0 J2069-0 J7448-0 J3278-0 J3826-0 J241-0 J6778-0 J1575-0 J4821-0 J4894-0 J4787-0
34	U34	J8071 J7049 J7446 J7073 J1047 J4890 J2460 J2996 J4934 J4181 J7187	J1494-0 J1279-0 J4023-1 J7955-0 J3041-0 J6501-0 J6613-0 J866-0 J6197-0 J651-0 J1811-0 J2136-0 J6187-0 J3852-1 J1996-0 J532-0 J288-0 J4919-0 J1429-0 J5666-1
35	U35	J4260 J5668 J2141	J347-0 J6312-0 J536-0 J6973-0 J6927-0 J4290-0 J6279-0 J6292-0 J4433-0 J4929-0 J3983-0 J6210-1 J5257-0 J354-0 J326-0 J1459-0 J4239-0 J7343-0 J7911-0 J4760-0
36	U36	J3677 J712 J1163 J6389 J7979 J7813 J3058 J8025	J2686-0 J5340-0 J2321-0 J6974-0 J1311-1 J3734-0 J7127-0 J6798-0 J7370-0 J5058-0 J2596-0 J3383-0 J7825-0 J7659-0 J4760-0 J1727-0 J1751-0 J1001-0 J984-0 J6561-0
37	U37	J3547 J917 J8002 J1977 J5942 J245	J569-0 J3874-0 J4796-0 J1344-0 J1740-0 J6084-1 J5904-1 J398-0 J1764-0 J1327-0 J2150-1 J4126-0 J1288-0 J4363-0 J5024-0 J7366-0 J4144-0 J1484-0 J6538-0 J2298-0
38	U38	J438 J5787 J2590 J7869 J6958	J973-0 J651-0 J7717-0 J2797-0 J7646-0 J7380-0 J3918-0 J533-0 J5830-0 J6071-0 J4937-0 J553-0 J5300-0 J4054-1 J7795-0 J3105-0 J1333-0 J3586-1 J446-0 J1612-1
39	U39	J8163 J1262 J4934 J5464	J3936-0 J3317-0 J576-0 J1122-0 J7168-0 J5987-0 J7953-0 J7717-0 J3632-0 J2090-0 J4309-0 J7376-0 J4084-0 J6815-0 J2859-0 J3337-1 J252-0 J8000-1 J1571-0 J3192-0
40	U40	J3582 J6176 J3869 J3197 J417	J373-0 J2917-0 J1607-0 J1109-0 J7797-0 J1973-0 J1972-1 J6538-0 J1032-0 J6017-1 J2526-0 J788-0 J7507-0 J1011-0 J4388-0 J6137-0 J4835-0 J4420-0 J7018-0 J3006-0
41	U41	J7809 J6363 J1440	J6778-0 J4547-1 J2455-0 J2050-0 J4181-0 J692-0 J5110-0 J7259-0 J5398-1 J627-0 J7816-0 J2888-1 J2601-0 J4773-0 J3161-0 J1884-0 J2545-1 J1230-0 J5649-0 J5585-0
42	U42	J8239 J4329 J3553	J5572-0 J2031-0 J3314-0 J780-0 J480-0 J6491-0 J1712-1 J4533-0 J1431-0 J496-0 J4203-0 J1342-0 J3523-0 J6198-0 J1910-0 J883-0 J7131-0 J6512-0 J5822-0 J6691-0
43	U43	J3134 J3035 J275	J1731-0 J5886-0 J707-1 J3148-0 J4816-0 J4501-0 J1024-1 J4489-0 J5706-0 J6770-0 J7227-1 J5409-0 J3542-0 J347-0 J239-1 J2523-0 J193-1 J6828-0 J3874-0 J786-0
44	U44	J3839 J2013 J5241 J3840 J4226 J7069 J6680 J1958 J4626	J1736-0 J4097-0 J4224-0 J241-0 J2788-0 J7204-0 J4124-0 J4150-1 J3769-0 J5602-0 J5691-0 J7989-1 J5029-0 J725-0 J3402-0 J5117-0 J2112-0 J2542-0 J1182-0 J7401-0
45	U45	J6126 J2349 J2905 J8134 J917	J640-1 J6563-0 J2133-1 J803-0 J1136-0 J1043-0 J2887-1 J2375-1 J5073-0 J2833-0 J3871-1 J1434-0 J7337-0 J8219-0 J2474-0 J1549-0 J892-0 J3785-0 J3937-0 J4615-0
46	U46	J2186 J1866 J1581 J4104 J1375 J7359	J7820-0 J6577-0 J1192-0 J2132-0 J12-0 J3432-0 J4216-0 J4205-1 J6376-0 J7066-0 J7535-0 J4968-0 J7049-1 J2916-0 J553-1 J5589-0 J5951-0 J5758-0 J4939-0 J5286-0
47	U47	J6038 J4291 J5245 J7185 J177 J5121 J534 J2671 J907 J3878	J4184-0 J7309-0 J1676-1 J4391-0 J598-1 J7051-0 J321-0 J4442-0 J6554-0 J5456-0 J3091-1 J6258-0 J6845-0 J1223-0 J476-0 J1318-0 J5549-0 J3989-0 J1393-0 J6918-0
48	U48	J6017 J1714 J1970	J5872-0 J7326-0 J120-0 J3228-0 J1619-0 J7346-0 J7677-0 J464-0 J3734-0 J659-0 J3328-0 J6068-0 J4741-0 J1504-0 J4983-0 J1680-0 J4920-0 J1829-0 J7760-0 J6140-0
49	U49	J3046 J8100 J7376	J4866-0 J979-1 J3087-0 J4388-0 J3326-0 J5027-0 J4542-0 J3583-0 J1257-0 J7543-0 J3619-0 J740-0 J2551-0 J7768-0 J6315-0 J3955-1 J7593-0 J6631-0 J4772-0 J6241-0
50	U50	J3083 J3845 J3867 J2684 J2373	J1237-0 J2786-0 J2619-0 J3582-1 J5003-0 J2957-0 J505-0 J6876-0 J584-0 J730-0 J1307-0 J1406-0 J5649-0 J614-0 J7939-0 J7286-0 J308-0 J6884-0 J7123-0 J1676-0
51	U51	J1556 J2330 J7521 J383	J2769-1 J4629-1 J3151-0 J2852-0 J1408-1 J7799-0 J5084-0 J7111-0 J4147-1 J492-0 J7102-1 J3626-0 J1397-1 J5855-1 J5011-0 J7232-0 J1956-0 J4884-0 J1548-0 J4978-0
52	U52	J4024 J5263 J4147	J6421-0 J5880-1 J4931-0 J6279-0 J4994-0 J3487-0 J5875-0 J1925-0 J352-0 J8129-0 J3526-0 J4629-1 J274-0 J2039-0 J6590-0 J4127-0 J838-0 J1848-0 J7531-0 J5145-1
53	U53	J2696 J3611 J8232 J4265 J6394	J3643-0 J6610-1 J7390-0 J1946-0 J1244-0 J554-0 J5531-0 J8176-0 J5521-0 J7607-0 J776-0 J5312-0 J6988-0 J960-0 J1553-0 J8139-1 J101-0 J5703-0 J1967-0 J7487-0
55	U55	J6580 J168 J6267 J3710 J6211	J7380-0 J3361-0 J3647-0 J1946-0 J5521-1 J7603-0 J6703-0 J5893-0 J5277-0 J5305-0 J3804-0 J4831-0 J3080-0 J7480-0 J96-0 J2383-0 J7210-0 J6513-1 J7246-1 J6926-0
56	U56	J3532 J3002 J1725	J3551-1 J8017-0 J7640-0 J2847-0 J3296-0 J7163-0 J7846-0 J3864-0 J2821-0 J7041-0 J7326-0 J2999-1 J1469-0 J7325-0 J4547-1 J592-0 J5680-0 J1426-0 J2339-0 J4805-0
57	U57	J5979 J1459 J5578 J298 J910 J729 J6998 J195 J3785 J1443 J6162 J3152 J6794	J4808-0 J6542-0 J263-0 J883-0 J256-0 J4835-0 J5690-0 J3747-0 J2870-0 J7977-0 J3362-0 J1075-0 J4708-0 J2798-0 J2610-0 J580-0 J5585-0 J7983-0 J3242-0 J7029-0
58	U58	J7846 J6174 J3776 J1468	J5443-0 J7022-0 J7768-0 J2785-0 J4481-1 J2703-1 J7964-0 J2972-0 J7169-0 J1532-0 J3573-0 J2285-0 J6079-0 J503-0 J1164-0 J1576-0 J3583-1 J5790-0 J2985-0 J3700-1
59	U59	J6641 J7203 J4527	J6132-0 J3973-0 J3037-0 J866-0 J3600-0 J3548-0 J4990-0 J4380-0 J4687-0 J8209-1 J6139-1 J6774-0 J1680-1 J7563-0 J4410-0 J7836-0 J385-0 J8151-0 J7309-0 J6983-0
60	U60	J7386 J6946 J3013 J5121	J5902-0 J6280-0 J1370-0 J7534-0 J6040-0 J7876-1 J7054-0 J5561-0 J728-0 J1115-0 J6613-0 J2911-0 J3756-0 J7643-0 J2058-0 J4396-0 J4127-0 J321-0 J8242-0 J4198-0
61	U61	J978 J5865 J6594 J7228 J3023	J385-0 J7358-0 J7619-1 J4050-0 J3254-0 J3421-0 J4935-0 J2304-0 J2447-0 J464-0 J3951-0 J7979-1 J1906-0 J237-1 J142-0 J2299-0 J5835-0 J8237-0 J7539-0 J7926-0
62	U62	J3727 J5661 J7278 J1694 J4613 J4846 J7227 J6084	J2095-0 J6858-0 J5515-0 J6684-0 J2755-0 J899-0 J6936-0 J1402-0 J4439-0 J8146-0 J7907-0 J4840-0 J8184-1 J2657-0 J5193-1 J3056-0 J7914-0 J5248-0 J8025-1 J7893-0
63	U63	J2919 J4344 J4527 J4934 J5064 J6978	J5306-0 J2320-0 J4647-0 J2898-0 J3517-0 J6188-0 J4656-0 J7437-0 J2631-0 J1813-0 J4750-0 J7558-0 J4616-0 J1604-0 J6779-0 J1656-0 J3837-0 J579-0 J935-0 J7692-0
64	U64	J4087 J7185 J6461 J3748 J3843 J7718	J7477-0 J2375-1 J7215-0 J262-0 J6758-0 J7848-0 J7108-0 J7713-0 J5852-0 J643-0 J2063-0 J6722-0 J3306-0 J7114-0 J24-0 J4759-1 J4536-0 J6919-0 J2594-0 J3765-1
65	U65	J1912 J2956 J18 J1521 J5612 J1468 J2487 J3203 J7360	J1695-0 J7568-0 J2315-0 J2151-0 J5166-0 J8015-0 J5573-0 J1417-0 J3402-0 J8017-0 J7490-1 J2688-1 J2549-0 J4097-0 J3153-0 J4233-0 J5593-0 J296-0 J7536-0 J675-1
66	U66	J4088 J5468 J2507	J6142-1 J2715-0 J2257-0 J5046-0 J2035-0 J4606-0 J4898-0 J3812-0 J4970-0 J7872-0 J4694-0 J5282-0 J6413-0 J1040-0 J2803-1 J1075-0 J1841-0 J168-0 J1509-0 J747-0
67	U67	J2726 J4181 J8233 J7822 J272	J4167-0 J6675-1 J4013-0 J6963-0 J1723-0 J5827-0 J8011-0 J5577-0 J4937-0 J5080-0 J6876-0 J6044-0 J5276-0 J1748-0 J50-0 J171-0 J299-0 J4056-0 J7174-0 J2226-0
68	U68	J4928 J2853 J886 J7372	J4550-0 J6652-1 J7925-0 J3384-1 J3991-0 J5786-0 J3372-1 J7627-0 J1764-0 J6008-0 J785-0 J1583-0 J4300-0 J5582-1 J4311-0 J3753-1 J1734-0 J8000-1 J323-0 J7284-0
69	U69	J0 J2722 J5666	J7670-0 J1403-0 J1778-0 J5916-0 J3312-0 J1895-0 J5923-0 J7049-0 J5456-0 J4821-0 J5690-0 J3238-0 J6270-0 J4011-0 J6601-0 J302-0 J5818-0 J7813-0 J1344-0 J6569-0
70	U70	J1637 J6405 J7880 J7423 J7404 J6213 J4621	J6630-0 J1228-0 J4596-1 J4745-0 J2928-0 J1006-0 J4143-0 J4623-1 J4392-0 J434-0 J3147-0 J7147-0 J8153-0 J4867-0 J1201-0 J705-1 J138-0 J1979-0 J6058-0 J1709-0
71	U71	J7143 J5392 J7067 J5766 J1706 J395 J1690 J1580	J4517-0 J8144-0 J4989-0 J5562-0 J6858-0 J3573-0 J4635-0 J3043-0 J1497-0 J8174-0 J7087-0 J6589-0 J8239-0 J3198-0 J660-0 J4901-0 J2412-0 J8257-0 J5349-0 J1485-0
72	U72	J1659 J7741 J1650	J4890-0 J4227-0 J5567-1 J4667-0 J4304-0 J4961-1 J1484-0 J4090-0 J4274-0 J7461-0 J426-0 J4881-0 J3050-0 J1151-0 J3923-0 J3149-0 J6387-0 J2171-0 J4046-0 J3749-1
73	U73	J1415 J7606 J847 J5612 J3499 J8163 J4366	J5510-0 J547-0 J7125-0 J4997-0 J4061-0 J6556-0 J6493-0 J2888-0 J6212-0 J7599-0 J7495-0 J4016-0 J2343-0 J1138-0 J7277-0 J729-0 J6472-0 J6240-0 J4254-0 J6510-0
74	U74	J6353 J7372 J7002 J4078 J1680 J1253 J2787 J3297	J5203-0 J3013-1 J6287-0 J5104-0 J7312-0 J7200-0 J3973-0 J5847-0 J5247-0 J8163-0 J1759-0 J3731-0 J4056-0 J7836-0 J3380-0 J6085-0 J2730-1 J4943-0 J2423-0 J4809-0
75	U75	J5641 J4128 J3955 J6213 J7187	J6036-0 J6192-0 J4428-0 J6585-1 J349-0 J6425-0 J5628-0 J6791-0 J7810-0 J255-0 J927-0 J2826-0 J7708-0 J6523-0 J4672-0 J6402-0 J4499-0 J3796-1 J1747-0 J3495-0
76	U76	J2775 J2907 J7278 J2760 J4181	J1181-0 J2227-0 J6976-0 J3219-0 J3744-0 J2070-0 J3207-0 J7649-0 J2844-0 J900-1 J3814-1 J4739-1 J785-0 J506-0 J4668-0 J1663-0 J3173-0 J4397-0 J7256-0 J512-0
77	U77	J411 J3547 J7036 J4510	J4033-0 J1645-0 J8117-0 J2610-0 J5794-0 J7747-0 J2932-0 J3133-0 J3313-1 J3214-0 J3412-1 J5156-0 J6087-0 J8019-0 J6797-0 J2228-0 J3913-0 J7245-0 J5187-1 J1720-1
78	U78	J3920 J4875 J267 J6832 J6842 J7433 J3918	J4560-0 J3871-1 J8211-0 J7319-0 J7966-0 J4061-0 J5511-0 J1267-0 J3995-0 J2094-0 J471-0 J6492-0 J463-0 J6097-0 J7541-0 J1031-0 J5321-0 J2389-0 J2942-0 J5272-0
79	U79	J4027 J7583 J7960 J2208 J2640	J7934-0 J6941-0 J5099-0 J2596-0 J2626-0 J4274-0 J1405-0 J4751-0 J5345-0 J2327-0 J5039-0 J7898-0 J4496-0 J7632-0 J1571-0 J49-0 J7230-0 J4461-1 J6395-1 J2597-0
80	U80	J4334 J4590 J4183 J2567 J4339 J4038	J5321-0 J8040-0 J7742-0 J7289-0 J4088-0 J6350-0 J7466-0 J7351-0 J1562-0 J5082-0 J8217-0 J761-0 J1691-0 J3255-1 J8147-0 J6314-0 J7236-0 J7269-0 J2180-0 J1766-0
81	U81	J2946 J2702 J193 J7023 J5590	J4577-0 J5845-0 J4145-0 J7840-0 J948-0 J3539-0 J5237-0 J4344-1 J1416-0 J1685-0 J3196-0 J4927-0 J6626-0 J4962-0 J6632-0 J4271-0 J5423-0 J3162-0 J3561-0 J4568-1
82	U82	J7036 J6375 J617 J6977 J3111 J6608 J4382 J7037 J2856 J4847	J1718-0 J6788-0 J1252-0 J2860-0 J3632-0 J6258-0 J6209-1 J5302-0 J1942-0 J4213-0 J6357-1 J5404-0 J1813-0 J5990-0 J6097-0 J4334-1 J7904-1 J19-1 J3299-1 J6766-0
83	U83	J7551 J2349 J4302 J3083	J7015-0 J2992-1 J7797-0 J5402-0 J2067-0 J3547-1 J3556-0 J8015-0 J4389-0 J7338-0 J848-0 J699-0 J5134-0 J6302-0 J2007-0 J1506-0 J7508-0 J842-0 J7619-0 J979-1
84	U84	J4149 J1507 J2687 J2728 J1262 J4473 J2443 J62	J4511-1 J4900-0 J715-0 J995-0 J5039-0 J591-1 J3089-0 J6615-0 J5495-0 J1777-0 J7435-0 J4357-0 J2843-0 J770-0 J7441-1 J5629-0 J4073-0 J7369-0 J7067-1 J8009-0
85	U85	J4053 J6386 J4054	J3973-0 J3337-0 J5226-0 J793-0 J6023-0 J7642-0 J3484-0 J1063-0 J6227-0 J858-0 J8001-0 J7955-0 J5852-0 J224-0 J1825-0 J12-0 J2119-0 J4467-0 J2284-0 J2599-0
86	U86	J7914 J3035 J3878 J1412 J2988	J2717-1 J1318-0 J1781-0 J673-0 J5464-0 J818-0 J1900-0 J4826-0 J69-0 J7993-0 J5340-0 J4230-0 J7605-0 J5674-0 J6001-0 J5959-0 J5848-0 J7575-0 J5425-0 J7683-0
87	U87	J6698 J7278 J1187	J7846-1 J5181-0 J3228-0 J3398-0 J5158-0 J3412-1 J4821-0 J257-0 J4674-0 J1048-0 J3520-0 J4194-1 J4552-0 J564-0 J1067-1 J1670-0 J1944-0 J418-0 J6305-0 J1498-0
88	U88	J5169 J1155 J1700 J6374 J7858	J2775-0 J6654-0 J3157-0 J4276-0 J5500-0 J2136-0 J668-0 J6808-0 J2064-0 J6345-0 J4466-1 J4633-0 J8210-0 J7213-0 J5663-1 J3240-0 J4877-0 J5133-0 J4771-0 J2442-0
89	U89	J8252 J3022 J1439	J6823-0 J6290-0 J5775-0 J7624-1 J896-0 J2822-0 J4267-0 J4827-0 J1900-0 J2412-0 J2479-0 J2952-0 J1123-0 J2709-0 J1261-1 J5226-0 J4200-0 J2617-0 J5136-0 J4902-1
91	U91	J7973 J383 J2211 J3547 J4326 J7474 J2624 J6114 J2492 J6584 J8208 J4549 J5480 J7404	J979-1 J2852-0 J7999-1 J133-0 J6581-0 J4276-0 J7188-0 J2006-0 J7170-0 J1733-0 J4595-0 J1309-0 J642-0 J5692-0 J7879-0 J5536-0 J869-0 J4901-0 J4785-0 J1567-0
92	U92	J3818 J6148 J4651 J4149 J2681	J6339-0 J4720-1 J5521-0 J2904-0 J2562-1 J2350-0 J306-0 J5598-0 J1612-1 J4159-0 J5229-0 J26-1 J4058-1 J969-0 J7615-0 J1822-0 J768-1 J6752-0 J335-0 J1398-0
93	U93	J1617 J7843 J1556 J1811 J2209 J3934 J6220 J1671 J3708 J7867	J5175-0 J2394-0 J4782-0 J3507-0 J7708-0 J2459-0 J1494-0 J7622-0 J2157-0 J2299-0 J3992-0 J2834-0 J6103-0 J7728-0 J3558-0 J1007-1 J1659-1 J2223-0 J1782-0 J5329-0
94	U94	J7278 J659 J1597 J6778 J3959	J2905-0 J1864-0 J2324-0 J4455-0 J5015-0 J5827-0 J4119-0 J2468-0 J1228-0 J3789-0 J452-0 J128-0 J7324-0 J2930-0 J5531-0 J1106-0 J1360-0 J1408-0 J2710-0 J251-0
95	U95	J1918 J1866 J7278 J2920 J3049 J6778	J235-0 J6123-0 J6039-0 J7450-0 J2004-0 J1676-0 J2930-0 J7159-0 J6422-0 J1041-0 J7739-0 J5008-0 J748-0 J2837-0 J2474-0 J362-0 J2437-0 J7809-0 J1729-0 J1572-0
96	U96	J473 J5573 J568 J7072 J21 J7983 J2244	J607-0 J7479-0 J1267-0 J6766-0 J7478-0 J5134-0 J582-0 J3851-0 J6249-0 J6116-0 J7800-0 J466-0 J660-0 J497-0 J6686-0 J3643-0 J6043-0 J2608-0 J5267-0 J4394-0
98	U98	J3244 J1803 J1950	J3544-0 J4456-0 J5241-0 J168-0 J6352-0 J7783-0 J5391-0 J2206-0 J5438-0 J7825-0 J6495-0 J4502-0 J6881-0 J1530-0 J3509-0 J7374-0 J1498-0 J7091-0 J7599-0 J3998-0
