user	Histories	Behaviors
U9111	J3009 J3834 J5366	J7114-0 J832-0 J4132-1 J6654-0 J6348-0 J3418-0 J3191-0 J905-0 J1835-0 J2795-0 J5099-0 J7710-0 J3151-0 J7830-1 J6798-0 J6438-0 J39-0 J5856-0 J7639-0 J6192-0
U3512	J16 J4271 J6139 J1352 J1111 J5160 J1700 J7858 J1707	J1788-0 J3492-0 J7228-0 J4433-0 J8222-0 J2425-0 J7152-0 J5722-1 J4622-0 J112-0 J927-0 J3617-0 J3192-0 J5168-0 J6409-0 J1409-0 J709-0 J6783-0 J1332-0 J331-0
U8924	J5347 J7386 J7521 J4087 J1143 J6608	J4341-0 J6801-0 J2343-0 J8246-0 J4105-0 J5495-0 J3295-0 J4293-0 J6848-0 J6378-0 J7081-0 J4542-0 J1382-0 J4561-0 J7231-0 J3871-1 J2540-0 J2043-0 J878-0 J6611-0
U1011	J3091 J8233 J2702 J2695	J6117-0 J4696-0 J3616-0 J408-0 J416-1 J7641-0 J5036-0 J1690-0 J4083-0 J3135-0 J2087-1 J236-0 J3564-1 J8025-1 J7262-0 J4367-1 J5983-0 J1317-0 J3704-0 J7218-0
U3496	J552 J3190 J6029 J3955 J6629	J7854-0 J2017-0 J158-0 J851-0 J2293-0 J6821-0 J8089-0 J5530-0 J4562-0 J7433-1 J5945-0 J5900-0 J2506-0 J685-0 J7188-0 J5573-0 J4116-0 J2441-0 J5320-0 J4957-0
U2058	J2905 J1666 J3776	J5181-0 J3173-0 J4957-0 J6281-0 J729-1 J6108-1 J754-0 J6128-0 J6052-0 J6867-0 J866-0 J2610-0 J3327-0 J1678-0 J5309-1 J3031-0 J1405-0 J80-0 J325-0 J6624-1
U9061	J2588 J1687 J3462	J2264-0 J7663-0 J8244-0 J5813-0 J1661-0 J2135-0 J4283-0 J1450-0 J6906-0 J1308-0 J6573-0 J3179-0 J3992-0 J6215-0 J633-0 J7369-0 J516-0 J4890-0 J6456-0 J6874-0
U786	J6026 J5798 J3830 J591	J1064-0 J5488-0 J7665-0 J141-1 J5298-0 J5160-0 J460-0 J2213-0 J358-0 J526-1 J1320-0 J1672-0 J2912-0 J7237-0 J8015-0 J5095-0 J5127-0 J4339-0 J7442-1 J4333-0
U1574	J6364 J5066 J5193 J3190 J4331 J1397	J4862-1 J2684-0 J3656-0 J7674-0 J1913-0 J5393-1 J1187-1 J5842-0 J6420-0 J2801-0 J1892-0 J863-1 J3220-0 J2317-0 J1622-0 J3950-0 J4718-0 J1016-0 J7826-0 J697-0
U5429	J5725 J4545 J180 J4947 J2710 J4593 J7373	J3893-0 J1138-0 J5723-0 J4443-0 J4308-0 J3278-0 J587-0 J1974-0 J6806-0 J486-0 J2364-0 J6068-0 J5747-0 J1210-0 J1880-0 J7622-1 J5666-1 J3748-1 J7486-0 J1857-0
U5558	J1154 J7306 J4000	J3573-0 J1063-1 J7091-1 J1582-0 J6980-0 J1555-0 J3922-0 J3243-0 J4932-0 J6779-0 J1557-1 J4455-0 J1200-0 J4064-0 J7987-1 J4773-0 J7301-0 J7369-0 J6543-0 J8028-0
U830	J7364 J7354 J7447 J3920	J199-0 J5271-0 J2203-0 J6927-0 J1516-0 J2799-0 J5376-0 J5655-0 J3336-0 J2044-0 J3960-0 J7849-0 J8123-0 J6223-0 J2798-0 J7732-0 J5955-0 J5219-0 J3975-0 J2921-0
U3917	J4002 J7396 J7619 J7283 J2894 J8168 J4345 J6152 J4265	J7021-0 J7102-0 J3028-0 J7862-0 J1138-0 J7761-0 J5323-0 J2713-0 J185-0 J3299-0 J6493-0 J1644-0 J4388-0 J6416-0 J6246-0 J4416-0 J3226-0 J584-0 J3897-0 J3574-0
U8339	J4817 J1252 J3906 J6470 J3653 J243 J5559 J448	J308-0 J2707-0 J860-0 J5379-0 J7445-0 J2538-0 J715-0 J7097-1 J5223-0 J3934-1 J398-0 J1227-0 J1308-0 J6861-0 J1072-0 J1201-0 J6253-0 J4571-0 J4951-0 J6442-0
U5188	J6662 J2686 J6839 J1694	J35-0 J932-0 J6705-1 J5107-1 J5856-0 J6590-0 J3211-0 J836-0 J2641-1 J5302-0 J7610-0 J3202-1 J7788-0 J7358-0 J5949-0 J1143-1 J3200-0 J4838-0 J7995-0 J6682-1
U9643	J961 J1928 J7858 J6151 J261 J7501 J2723	J306-0 J5215-0 J7699-0 J5460-1 J6114-1 J7915-0 J3174-0 J8135-0 J7279-0 J7334-0 J3760-0 J7496-0 J5849-0 J7302-1 J2752-0 J7566-0 J7980-0 J6217-1 J1260-1 J1643-0
U1905	J7572 J1652 J2517 J3290 J872 J2133 J2887 J5956 J1459 J5675 J2562	J5069-1 J4683-0 J5989-0 J2721-0 J4313-0 J2831-0 J1083-0 J2503-1 J7605-0 J2767-0 J4144-0 J5228-0 J3869-1 J524-0 J2208-1 J8032-1 J4129-0 J3991-0 J8162-0 J3739-1
U349	J1067 J6151 J7765 J8258	J2567-1 J3412-1 J7627-0 J1475-0 J1324-0 J6549-1 J3096-1 J5839-0 J3579-0 J6410-0 J6321-1 J1087-0 J5166-0 J7992-0 J1469-0 J7050-0 J2263-0 J2382-0 J929-0 J3353-1
U6857	J7383 J2743 J663 J6754 J2910	J1060-0 J17-0 J891-0 J4617-1 J7299-0 J4072-0 J2492-0 J7964-0 J4385-0 J4898-0 J3038-0 J1555-0 J7022-0 J553-0 J3967-0 J2639-0 J2189-0 J6711-0 J6374-1 J4071-0
U7495	J4907 J1507 J3966 J3493 J2075 J7077 J925	J7141-0 J7406-0 J8103-0 J5112-0 J789-0 J1561-0 J5004-0 J7944-0 J1041-0 J5905-0 J4359-0 J2312-0 J2712-1 J940-0 J5246-0 J830-0 J7508-0 J801-0 J2840-0 J1066-0
U2128	J7067 J2757 J11 J6602	J6737-0 J3980-0 J4671-1 J7702-0 J134-0 J3893-0 J3432-0 J1251-0 J2524-0 J7040-0 J166-0 J5032-0 J3720-0 J2480-0 J7794-0 J3938-0 J2942-0 J865-0 J4706-0 J3511-0
U3700	J3584 J3847 J1350 J4096 J4151	J916-1 J2907-0 J7486-0 J5571-0 J5403-0 J203-0 J1902-0 J1356-0 J1942-0 J3782-0 J1692-0 J3450-0 J4270-0 J7889-1 J2992-0 J2113-1 J5934-0 J3059-1 J5180-0 J7104-0
U2408	J2562 J2372 J1402 J3846 J6306	J7558-1 J3464-0 J2409-0 J112-0 J2564-0 J6348-0 J791-0 J2016-0 J6275-0 J2187-1 J1150-0 J8045-0 J1672-0 J5615-0 J5543-0 J111-0 J195-0 J3709-0 J3194-0 J7451-1
U9167	J4086 J8229 J4818 J1591	J7334-0 J564-0 J4917-0 J2656-1 J6125-0 J7784-0 J1734-0 J7200-0 J5125-0 J1379-0 J7112-0 J6725-0 J6664-1 J1837-0 J2822-0 J2739-0 J2815-1 J7613-0 J2501-1 J5862-0
U2412	J8231 J2000 J5612 J4947 J4921 J8139 J5062 J906	J862-0 J3212-1 J4936-0 J3296-0 J172-0 J3355-1 J8195-0 J4419-0 J1699-0 J278-0 J2726-1 J1452-0 J1296-0 J4710-0 J4970-0 J2718-0 J4021-0 J7086-0 J7012-0 J1370-0
U6682	J767 J387 J7438 J2974 J1719 J7386	J3339-0 J6002-0 J3936-0 J4408-0 J4560-0 J4169-0 J573-0 J4881-0 J8182-0 J4736-0 J2228-0 J5777-0 J7155-0 J5772-0 J5101-0 J171-0 J2404-0 J6115-0 J4549-0 J5364-0
U7203	J6450 J4651 J4484 J3569	J3750-0 J2530-0 J5590-1 J1886-0 J6989-0 J753-0 J2044-0 J6905-0 J418-0 J5235-0 J2856-1 J7243-0 J6547-0 J5799-0 J3190-1 J6087-0 J588-0 J6861-0 J1195-1 J1926-0
U8152	J1334 J19 J3417 J3776 J2213 J1962 J4511 J5193	J7204-0 J6134-0 J268-0 J2362-0 J2733-1 J7089-0 J4264-0 J1566-0 J4446-0 J1177-0 J1272-0 J4566-0 J4022-1 J1104-0 J4719-1 J7018-0 J3575-0 J6031-0 J51-0 J3432-0
U3842	J8232 J4161 J1255	J7945-0 J3110-1 J5928-0 J5011-0 J6192-0 J4784-0 J2538-0 J523-0 J2629-0 J6101-0 J2621-0 J2907-0 J4481-0 J7540-0 J5442-0 J2080-0 J4955-0 J618-0 J6910-0 J1480-0
U2179	J1216 J4723 J5939	J662-0 J4213-0 J4190-0 J2240-0 J5963-0 J6312-0 J4586-0 J3410-0 J6285-0 J4389-0 J6370-0 J5445-0 J3768-0 J5675-0 J5265-0 J4837-0 J1311-0 J647-0 J1237-0 J3929-0
U9263	J3684 J2635 J1023	J549-0 J1120-0 J6092-0 J537-0 J3077-0 J7577-0 J2267-0 J1922-0 J489-0 J2401-0 J3752-0 J988-0 J3763-0 J2821-0 J1475-0 J3565-0 J5772-0 J1449-1 J3621-0 J512-0
U6111	J2187 J62 J1062 J3854	J4511-1 J1094-0 J4421-0 J1636-0 J7921-0 J7314-0 J4355-0 J4823-0 J2203-0 J7535-0 J3847-0 J5948-0 J1928-0 J2022-0 J1880-0 J7723-0 J2159-0 J5096-1 J4078-1 J729-0
U7349	J6781 J2996 J5492 J7178 J1216	J1596-0 J5111-0 J6847-0 J1429-0 J6464-1 J6775-0 J7000-0 J587-0 J929-0 J5734-0 J6033-0 J1536-0 J2807-0 J7192-0 J2291-0 J2180-0 J6920-0 J7308-0 J334-0 J5898-0
U2417	J7843 J7874 J7278 J7651 J3684 J4170 J4236 J817 J3134 J1023 J4183 J4047 J6363 J2978 J4000 J8247	J7616-0 J7001-0 J1985-0 J2053-0 J875-1 J5418-1 J1521-0 J6784-0 J6540-0 J6103-0 J6959-0 J2331-0 J5226-0 J3736-0 J5561-0 J7778-0 J6305-0 J165-0 J2961-0 J3853-1
U2307	J1448 J1817 J1488 J3412 J1447 J7093	J1161-1 J1060-1 J4403-0 J2635-1 J4358-0 J1198-0 J370-0 J6724-0 J7917-0 J7075-1 J6422-1 J2999-1 J4967-0 J3614-0 J5925-0 J4094-0 J4803-1 J595-0 J3794-0 J6264-1
U9387	J5067 J2244 J24 J3015 J7594 J6052	J4489-0 J6016-0 J4687-0 J7334-0 J3532-0 J6253-0 J6064-0 J3359-0 J4677-0 J73-0 J3458-0 J7093-0 J7558-0 J7489-0 J5265-0 J3167-0 J4419-0 J2724-0 J6285-1 J3074-0
U8398	J3580 J5985 J3453	J7073-1 J3127-0 J4985-0 J5053-0 J1430-0 J4137-0 J7168-0 J5271-0 J7750-0 J1293-0 J648-1 J2759-0 J6181-0 J4211-0 J4587-0 J1018-0 J2824-0 J1733-0 J5732-0 J6741-0
U2898	J645 J4623 J1988	J3736-0 J8062-0 J7131-0 J1456-0 J6673-0 J6041-1 J601-1 J4315-0 J4033-0 J5016-0 J2790-0 J2571-0 J3374-0 J5856-0 J1681-0 J2381-1 J1199-0 J4185-0 J1816-0 J2893-1
U5380	J2517 J4567 J3698 J6155 J6978 J4863 J64 J7878	J6084-1 J5065-0 J2109-1 J4175-0 J2605-0 J2693-0 J5414-0 J6918-0 J259-0 J6808-0 J4351-0 J2215-0 J4136-0 J2379-1 J4098-0 J2393-1 J7532-1 J5802-0 J4120-0 J7493-0
U4052	J5081 J5375 J5080 J8134	J1060-0 J1468-0 J3485-0 J326-0 J5246-0 J6062-0 J2218-0 J2851-0 J4741-0 J8204-0 J1941-0 J7613-0 J997-0 J3580-0 J1205-0 J1122-0 J4052-0 J2663-0 J2561-0 J6261-0
U4874	J1334 J4095 J2570 J6383	J622-0 J6405-0 J4935-0 J4852-0 J2971-0 J6959-0 J2088-0 J4323-0 J4673-0 J1914-0 J5312-0 J7167-0 J6034-0 J3896-0 J975-0 J7910-0 J2149-0 J581-0 J3535-0 J4553-0
U217	J4524 J7060 J3009	J473-0 J1759-0 J2825-0 J7477-0 J6853-0 J3037-0 J7001-0 J5717-0 J7209-0 J6220-1 J2880-0 J1097-0 J2300-0 J645-1 J7923-0 J4470-0 J2763-0 J2557-0 J5323-0 J2259-0
U6201	J4847 J6017 J2685 J1915 J177 J6230 J4312 J7296 J5072 J2187 J7981	J3406-0 J5003-0 J4285-0 J3922-0 J782-0 J1949-0 J1628-0 J311-0 J6963-0 J7308-0 J164-0 J6397-0 J7559-1 J4959-1 J6392-0 J4616-0 J7715-0 J4075-0 J7422-0 J663-1
U1214	J8094 J5490 J1729 J2379 J1232 J3092 J4205 J8140	J2091-0 J7398-1 J6242-0 J3196-0 J2633-0 J7834-0 J3064-0 J7196-0 J3850-1 J6344-0 J5018-0 J2999-1 J6013-0 J2062-0 J1534-0 J1834-1 J8074-0 J4867-0 J5238-1 J3565-0
U3458	J729 J6150 J2843 J7193 J1912 J3038 J2929	J5175-0 J795-0 J4286-0 J5260-0 J5124-0 J6358-0 J3084-0 J5427-0 J4065-0 J528-0 J7887-1 J4310-0 J5954-1 J3069-0 J67-0 J420-1 J1629-0 J5744-0 J6194-0 J407-0
U7629	J5869 J5090 J1683	J4107-0 J2615-0 J892-1 J5750-0 J7200-0 J108-0 J5993-0 J4042-0 J4316-0 J4693-0 J1211-0 J6706-0 J1988-0 J1639-0 J5444-0 J7550-0 J3392-0 J5923-0 J5281-0 J6436-0
U8292	J1224 J2818 J678 J4864 J4128 J3843	J53-0 J5440-0 J2772-0 J6857-0 J6626-0 J1938-0 J1531-0 J2119-0 J7677-0 J3559-0 J573-0 J6976-0 J5037-0 J576-0 J3724-0 J4548-0 J7761-0 J7577-0 J1226-1 J7343-0
U3430	J6472 J2422 J4169 J3611 J5187	J190-0 J3246-0 J1327-0 J4888-0 J1532-0 J1078-0 J6430-1 J3059-1 J3728-0 J581-0 J1406-0 J509-0 J3095-1 J990-0 J2514-0 J6603-0 J5892-0 J7864-0 J2439-1 J1253-0
U1521	J2463 J7829 J1591 J7901 J4145 J7296 J1649 J7307 J6674	J7216-0 J2907-0 J6874-0 J1429-1 J3550-0 J6932-0 J1943-0 J2663-0 J2567-1 J5395-1 J6953-0 J1246-1 J1385-1 J323-0 J3505-0 J3872-1 J6055-1 J4927-0 J4230-0 J5434-0
U3361	J6674 J4317 J5991 J1670 J6108 J3314	J5531-0 J2572-0 J1664-1 J2900-0 J424-0 J4628-1 J1823-0 J1938-1 J3158-0 J2111-0 J8139-1 J6181-1 J3414-0 J1714-1 J664-1 J3646-1 J2341-0 J382-1 J1481-1 J6579-1
U6815	J3454 J1957 J2403 J3103 J7339 J6174 J5940	J2916-1 J6499-0 J665-0 J1656-1 J3494-0 J2083-0 J7497-0 J4379-1 J6009-0 J6772-1 J1363-0 J6617-0 J6645-0 J977-0 J616-0 J6523-0 J5941-1 J3006-0 J4701-0 J7032-0
U7925	J6121 J2700 J3554	J3019-1 J4198-0 J7710-0 J5765-0 J3662-1 J6591-0 J3045-0 J6573-0 J233-0 J6001-0 J1968-1 J2196-0 J1587-1 J6957-0 J3102-0 J7622-1 J1301-0 J3396-0 J6371-0 J1164-0
U3417	J1616 J7214 J1053 J5584 J85 J4025 J5788 J8233 J1195	J7294-0 J7329-0 J8175-0 J2498-0 J6700-1 J6933-0 J7991-0 J3359-0 J6499-0 J2694-1 J950-0 J6472-0 J8197-1 J2137-0 J7696-0 J5148-0 J2102-1 J4930-0 J850-0 J978-1
U8456	J2737 J7002 J8226 J6349	J7197-0 J7347-0 J5785-0 J4261-0 J5227-0 J7782-1 J4373-0 J3755-0 J4252-0 J5595-0 J7631-0 J4387-0 J253-0 J3653-1 J5196-0 J3564-0 J922-0 J4950-0 J6513-0 J153-0
U8707	J2102 J6839 J6154 J3027 J710 J4882 J3748	J3162-0 J3171-0 J1710-0 J2985-0 J3519-0 J6430-1 J4965-0 J4504-0 J6618-0 J1208-0 J7107-1 J7653-0 J3397-0 J6711-0 J8045-0 J1979-0 J4561-0 J2129-0 J2353-1 J3600-0
U5313	J7446 J3493 J3347 J7274	J866-0 J7683-0 J3616-0 J3156-0 J7848-0 J2819-1 J4697-0 J7386-1 J7464-0 J6045-0 J1861-0 J1546-0 J8259-1 J2865-0 J1505-0 J6315-0 J6676-0 J4230-0 J7981-0 J6114-0
U3371	J6368 J1031 J2948 J5719 J6399 J1111	J8251-0 J6825-0 J6269-0 J5836-0 J7763-0 J2399-0 J2675-0 J3738-0 J7379-1 J5743-0 J440-0 J2662-0 J2515-0 J7089-0 J5126-0 J537-0 J7659-0 J6300-0 J608-0 J2727-0
U7369	J2101 J4934 J3584 J2078 J5198 J2815 J2378 J7993 J382 J1557 J5309 J8013 J6148	J3330-0 J5736-0 J3466-0 J7429-1 J5042-1 J2906-0 J2606-0 J6927-0 J7076-0 J1681-0 J4961-1 J3770-0 J7812-0 J5545-0 J4436-0 J7863-0 J4806-0 J3739-0 J4425-0 J1030-1
U1244	J2282 J588 J4027 J1218 J6301 J6666 J2349 J905 J3959 J5829	J5494-0 J4699-0 J2888-0 J7289-0 J258-0 J2570-1 J986-0 J8121-0 J1498-0 J8-0 J2865-0 J5861-0 J5001-0 J1677-1 J5114-0 J3650-0 J5064-0 J6941-1 J3491-0 J191-0
U4088	J5192 J6149 J2135	J496-0 J654-0 J2881-0 J1583-0 J3844-1 J4852-1 J1387-0 J1210-0 J6089-0 J3159-0 J8246-0 J4283-0 J4563-0 J2079-0 J3333-0 J960-0 J2095-0 J6675-0 J5871-0 J1435-0
U186	J1694 J7972 J7529 J882	J991-0 J7635-1 J2830-0 J4306-0 J7007-0 J998-0 J3527-1 J2276-0 J6129-0 J6811-0 J507-0 J5752-0 J2842-0 J698-1 J6071-0 J6153-1 J1963-1 J2983-1 J4718-0 J1005-0
U3373	J6486 J1803 J8201	J5243-0 J5980-0 J323-0 J1197-0 J570-0 J197-0 J3336-0 J7363-0 J3808-0 J704-0 J939-0 J366-0 J5569-0 J6228-0 J2820-0 J8162-0 J2135-0 J7938-0 J1882-0 J8098-0
U9088	J5078 J6321 J2781 J690	J5494-0 J6973-0 J5990-0 J976-0 J989-0 J4007-0 J6224-0 J1569-0 J3154-0 J4044-0 J5673-0 J6094-0 J6469-0 J3891-0 J5605-0 J2597-0 J1831-0 J2359-0 J1-0 J7056-0
U4484	J7151 J4647 J5385	J622-0 J5995-0 J3149-0 J828-0 J243-1 J1812-0 J2615-0 J4928-1 J5806-0 J657-0 J7368-0 J5291-0 J4009-0 J6402-0 J4800-0 J2352-0 J7209-0 J2158-0 J6662-1 J6678-1
U5739	J886 J3035 J6279 J1423	J2500-0 J375-0 J4862-0 J1675-1 J8021-0 J8073-0 J1602-0 J463-0 J1238-0 J667-0 J320-0 J4332-0 J2242-0 J7021-0 J5745-0 J472-1 J5355-0 J1835-0 J5239-0 J7071-0
U3334	J599 J6002 J3684 J3111 J2486 J6148 J62 J3269 J2987 J3657 J5108 J22	J7726-0 J2146-0 J3068-0 J3306-0 J5432-0 J4409-0 J1771-0 J4136-0 J3301-0 J4158-0 J6921-0 J729-1 J4962-0 J1120-0 J4696-0 J5731-0 J3292-0 J4554-1 J1049-0 J897-0
U6932	J916 J7420 J1450 J4239	J2048-1 J3309-0 J1896-0 J7958-0 J32-0 J8078-0 J257-0 J4588-0 J4051-0 J8193-0 J3661-0 J1621-0 J4700-0 J6808-0 J7284-0 J3660-0 J1087-0 J6834-0 J5005-0 J2455-0
U6854	J1606 J10 J367 J568 J6057 J4796 J7076 J252	J5829-1 J5879-0 J4057-0 J4683-0 J6612-0 J6363-0 J4575-0 J2097-0 J5483-0 J15-0 J904-0 J7874-0 J1428-0 J5053-0 J5490-0 J7169-0 J6971-0 J2284-0 J2111-0 J3327-0
U1629	J2349 J7624 J705 J2545 J1002	J4773-0 J3447-0 J6436-0 J3213-1 J1605-1 J8232-1 J4704-0 J6025-0 J8225-1 J100-0 J2624-1 J6020-0 J7435-0 J745-1 J3514-0 J2510-0 J3947-0 J1440-1 J3719-0 J863-1
U7348	J1054 J2701 J3020	J822-0 J7905-0 J7466-0 J4219-0 J3982-0 J721-0 J2091-0 J5165-0 J7706-0 J6218-0 J776-0 J2507-1 J3505-0 J1186-0 J669-0 J3404-0 J6661-1 J779-0 J8222-0 J7252-0
U716	J3962 J1311 J8086	J4526-0 J5933-0 J7910-0 J30-0 J4556-0 J6400-1 J89-0 J7739-0 J7437-1 J6235-0 J2753-0 J5677-0 J4587-0 J1301-0 J184-0 J4725-0 J1340-0 J7330-0 J4136-0 J3325-0
U4919	J0 J1530 J5069 J7718	J2190-0 J8226-0 J3550-0 J3075-0 J6613-0 J1886-0 J7678-0 J3280-0 J2153-0 J6412-0 J1787-0 J637-0 J3894-0 J5925-0 J5480-1 J4404-0 J876-0 J7705-0 J300-0 J1492-0
U7617	J200 J2510 J186 J4574 J4197 J4473 J236 J2629	J4302-0 J516-0 J1767-0 J4304-0 J5565-0 J5301-0 J8218-0 J5581-0 J4107-0 J296-0 J2670-0 J1897-0 J2685-0 J7838-0 J4259-1 J3677-1 J7235-0 J1821-0 J8122-0 J1421-0
U6017	J5841 J7636 J1062	J4277-0 J3753-1 J4764-0 J5940-1 J6978-1 J6681-1 J3952-1 J3294-0 J7814-0 J5917-0 J4114-0 J5387-0 J3570-0 J7552-0 J3740-0 J2971-0 J3404-0 J314-1 J4808-0 J5776-0
U4273	J7884 J7121 J7069 J7416	J6946-1 J2719-0 J2812-0 J2742-1 J6682-1 J2376-1 J4162-0 J3428-0 J3988-0 J5028-0 J3811-0 J2676-1 J3985-0 J3952-0 J533-0 J3904-0 J7726-0 J2949-0 J6259-0 J6663-0
U2346	J2025 J1122 J6740 J1159 J2695	J565-0 J6005-0 J1548-0 J1366-0 J5603-0 J7841-0 J7248-0 J2621-0 J4214-0 J2103-0 J43-0 J1888-0 J2928-0 J2186-1 J749-0 J769-0 J3471-0 J5619-0 J5951-0 J7339-0
U9048	J5582 J7522 J2349 J3826 J5661 J7871 J2810 J2769	J3541-0 J7285-0 J5806-0 J734-0 J4572-0 J3611-0 J1004-0 J4465-0 J2433-0 J320-0 J1569-1 J5314-0 J5834-0 J2031-0 J5180-1 J481-0 J2998-1 J546-0 J7403-0 J1905-1
U5210	J6149 J148 J1127 J2728 J4150 J1385 J4511 J2722	J5795-0 J1822-0 J3594-0 J7131-0 J5149-0 J4326-1 J2986-1 J828-0 J6469-0 J4275-0 J406-0 J6572-0 J3665-0 J2987-1 J8101-1 J5362-0 J3490-0 J1197-0 J6141-0 J1297-0
U4244	J6260 J6513 J4609 J2460 J7416	J2690-0 J2740-0 J4120-0 J3221-0 J5764-0 J5991-0 J4260-0 J5126-0 J901-0 J3321-1 J959-0 J915-0 J6917-0 J6410-0 J115-0 J903-1 J6804-0 J670-0 J7273-0 J4757-0
U332	J272 J4919 J5659 J5348 J3163	J5128-0 J2628-0 J5053-0 J3327-0 J3717-0 J235-0 J4397-0 J5803-0 J495-0 J5783-0 J7916-0 J2785-0 J210-0 J4640-0 J6797-0 J7011-0 J3027-1 J5336-0 J1266-0 J2073-0
U1195	J4150 J4377 J5080	J7509-0 J31-0 J6007-0 J349-0 J4157-0 J4429-0 J6924-0 J4953-0 J2855-0 J2854-0 J7592-0 J1548-0 J6435-0 J2675-0 J7043-0 J8013-0 J6036-0 J506-0 J6077-0 J823-0
U6735	J4905 J4454 J7844 J4921 J62 J4342 J3662 J314	J4924-0 J379-0 J1229-0 J2715-0 J2164-0 J7917-0 J2147-0 J5159-0 J6681-0 J6379-0 J1183-0 J4062-0 J4538-1 J756-0 J906-1 J5226-0 J6527-0 J264-0 J6889-0 J8238-0
U9668	J3589 J6542 J4607 J1768 J3765 J6706 J7296 J1468 J2567	J3810-0 J4154-0 J7805-0 J1516-0 J4867-0 J840-0 J4878-0 J1990-0 J5509-0 J1589-0 J6064-0 J4738-0 J414-0 J30-0 J7617-0 J1142-1 J5786-0 J1523-0 J6217-0 J644-0
U6131	J1467 J157 J1460 J2517 J4484	J6708-0 J4803-0 J7270-0 J532-0 J1821-0 J4703-0 J7914-1 J6012-0 J3911-1 J2731-0 J59-0 J6456-0 J5074-0 J3386-0 J7172-0 J3654-0 J3930-0 J1203-0 J3040-0 J1432-0
U6841	J5940 J7386 J7197 J1053 J4259 J3083 J2726 J4880 J3647 J4340 J4473 J7151 J3849 J5650 J6661 J4302 J3753	J4700-0 J1906-1 J2727-1 J4477-0 J2678-0 J4467-1 J6150-1 J3842-0 J4790-1 J5708-1 J4736-1 J6208-0 J7227-1 J6713-0 J7989-1 J522-0 J3091-1 J1228-0 J6732-0 J2094-0
U4615	J886 J2508 J4781 J1053	J2095-0 J7101-0 J6038-1 J1881-0 J2737-1 J5514-0 J83-0 J7239-0 J4646-1 J7402-0 J5857-0 J417-1 J4091-0 J4437-0 J978-1 J267-1 J5945-0 J3431-1 J1725-1 J2216-0
U6729	J2186 J4518 J4994 J917 J3091	J7703-0 J8092-0 J7428-0 J5476-0 J3810-0 J720-0 J7404-1 J4266-0 J5181-0 J3005-0 J2192-0 J2371-0 J5101-0 J6494-0 J1168-0 J1965-1 J7048-1 J7136-0 J1473-0 J7406-0
